CNN,street1,street2,street3,street4,street5
50174000,STARK ST,START: 1-99 BLOCK,,,
50175000,PELTON PL,END: 1-99 BLOCK,,,
50176000,JASON CT,END: 1-99 BLOCK,,,
50177000,SAINT LOUIS ALY,START: 1-99 BLOCK,,,
50178000,DORIC ALY,START: 1-99 BLOCK,,,
50179000,TRENTON ST,END: 1-49 BLOCK,,,
50181000,BEDFORD PL,END: 1-99 BLOCK,,,
50182000,ADELE CT,END: 1-99 BLOCK,,,
50184000,KEYES ALY,END: 1-99 BLOCK,,,
50185000,WAYNE PL,END: 1-45 BLOCK,,,
50186000,MARCY PL,START: 1-99 BLOCK,,,
50187000,BROADWAY,START: 1050-1099 BLOCK,,,
50188000,BROADWAY,END: 1000-1049 BLOCK,,,
50189000,FLORENCE ST,START: 1-99 BLOCK,,,
50190000,FALLON PL,START: 1-99 BLOCK,,,
50191000,CYRUS PL,END: 1-99 BLOCK,,,
50192000,BURGOYNE ST,START: 1-99 BLOCK,,,
50193000,WALL PL,END: 1-99 BLOCK,,,
50195000,MCCORMICK ST,START: 1-99 BLOCK,,,
50196000,RUSSIAN HILL PL,END: 1-99 BLOCK,,,
50197000,WALDO ALY,END: 1-99 BLOCK,,,
50198000,WHITE ST,END: 1-99 BLOCK,,,
50199000,HAMLIN ST,END: 1-99 BLOCK,,,
50200000,DELGADO PL,START: 1-99 BLOCK,,,
50201000,WARNER PL,START: 1-99 BLOCK,,,
50204000,DUNNES ALY,START: 1-99 BLOCK,,,
50205000,TAYLOR ST,END: 2400-2499 BLOCK,,,
50206000,ALTA ST,START: 1-99 BLOCK,,,
50207000,VALLEJO ST,ALTA VISTA TER,,,
50208000,VALLEJO ST,START: 1000-1075 BLOCK,,,
50209000,FRONT ST,END: 1100-1199 BLOCK,,,
50210000,VALLEJO ST,END: WEST,,,
50211000,HOOKER ALY,START: 1-99 BLOCK,,,
50212000,MULFORD ALY,START: 1-99 BLOCK,,,
50213000,HOBART ALY,START: 1-99 BLOCK,,,
50214000,FELLA PL,END: 1-99 BLOCK,,,
50215000,ANSON PL,START: 1-99 BLOCK,,,
50216000,TIMOTHY PFLUEGER PL,END: 1-99 BLOCK,,,
50217000,BURRITT ST,END: 1-99 BLOCK,,,
50218000,VINTON CT,END: 1-99 BLOCK,,,
50219000,EMMA ST,END: 1-99 BLOCK,,,
50220000,CHATHAM PL,END: 1-99 BLOCK,,,
50221000,HARLAN PL,END: 100-199 BLOCK,,,
50222000,TILLMAN PL,START: 1-99 BLOCK,,,
50223000,ROBERT KIRK LN,END: 1-99 BLOCK,,,
50224000,VER MEHR PL,END: 1-99 BLOCK,,,
50225000,QUINCY ST,START: 1-99 BLOCK,,,
50226000,HARLAN PL,HARLAN PL,,,
50227000,MARK LN,HARLAN PL,,,
50228000,HARDIE PL,END: 1-99 BLOCK,,,
50230000,CENTURY PL,END: 1-99 BLOCK,,,
50231000,TREASURY PL,END: 1-99 BLOCK,,,
50233000,MARK TWAIN PL,END: 500-539 BLOCK,,,
50234000,SABIN PL,END: 1-99 BLOCK,,,
50235000,PRATT PL,START: 1-99 BLOCK,,,
50236000,STOCKTON ST,END: 700-767 BLOCK,,,
50237000,BROOKLYN PL,END: 1-99 BLOCK,,,
50238000,PAGODA PL,END: 1-99 BLOCK,,,
50239000,PARKHURST ALY,END: 1-99 BLOCK,,,
